Creekside North,06:30,,07:00,07:20,,07:40,07:50,08:00,08:10,08:20,08:30,08:40,08:50,09:00,09:10,09:20,09:30,09:40,09:50,10:00,10:10,10:20,10:30,10:40,10:50,11:00,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,12:50,01:00,01:10,01:20,01:30,01:40,01:50,02:00,02:10,02:20,02:30,02:40,02:50,03:00,03:10,03:20,03:30,03:40,03:50,04:00,04:10,04:20,04:30,04:40,04:50,05:00,05:10,05:20,05:30,05:40,05:50,06:00,06:10,06:20,06:30,06:40,06:50,07:00,07:20,07:30,07:50,08:10,08:20,08:40,09:00,09:10,09:30,09:50,10:00,10:20,10:40,10:50,11:10,11:30,11:40,12:00,12:20,12:30,12:50,01:10,01:20
Creekside South,06:30,,07:00,07:20,,07:40,07:50,08:00,08:10,08:20,08:30,08:40,08:50,09:00,09:10,09:20,09:30,09:40,09:50,10:00,10:10,10:20,10:30,10:40,10:50,11:00,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,12:50,01:00,01:10,01:20,01:30,01:40,01:50,02:00,02:10,02:20,02:30,02:40,02:50,03:00,03:10,03:20,03:30,03:40,03:50,04:00,04:10,04:20,04:30,04:40,04:50,05:00,05:10,05:20,05:30,05:40,05:50,06:00,06:10,06:20,06:30,06:40,06:50,07:00,07:20,07:30,07:50,08:10,08:20,08:40,09:00,09:10,09:30,09:50,10:00,10:20,10:40,10:50,11:10,11:30,11:40,12:00,12:20,12:30,12:50,01:10,01:20
Ellicott Tunnel,06:34,,07:04,07:24,,07:44,07:54,08:04,08:14,08:24,08:34,08:44,08:54,09:04,09:14,09:24,09:34,09:44,09:54,10:04,10:14,10:24,10:34,10:44,10:54,11:04,11:14,11:24,11:34,11:44,11:54,12:04,12:14,12:24,12:34,12:44,12:54,01:04,01:14,01:24,01:34,01:44,01:54,02:04,02:14,02:24,02:34,02:44,02:54,03:04,03:14,03:24,03:34,03:44,03:54,04:04,04:14,04:24,04:34,04:44,04:54,05:04,05:17,05:24,05:34,05:44,05:54,06:04,06:14,06:24,06:34,06:44,06:54,07:04,07:24,07:34,07:54,08:14,08:24,08:44,09:04,09:14,09:34,09:54,10:04,10:24,10:44,10:54,11:14,11:34,11:44,12:04,12:24,12:34,12:54,01:14,01:24
South Lake (to Spine),06:40,07:00,07:10,07:30,,07:50,08:00,08:10,08:20,08:30,08:40,08:50,09:00,09:10,09:20,09:30,09:40,09:50,10:00,10:10,10:20,10:30,10:40,10:50,11:00,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,12:50,01:00,01:10,01:20,01:30,01:40,01:50,02:00,02:10,02:20,02:30,02:40,02:50,03:00,03:10,03:20,03:30,03:40,03:50,04:00,04:10,04:20,04:30,04:40,04:50,05:00,05:10,05:20,05:30,05:40,05:50,06:00,06:10,06:20,06:30,06:40,06:50,07:00,07:10,07:30,07:40,08:00,08:20,08:30,08:50,09:10,09:20,09:40,10:00,10:10,10:30,10:50,11:00,11:20,11:40,11:50,12:10,12:30,12:40,01:00,01:20,01:30
Alumni/Stadium (to Spine),06:42,07:02,07:12,07:32,,07:52,08:02,08:12,08:22,08:32,08:42,08:52,09:02,09:12,09:22,09:32,09:42,09:52,10:02,10:12,10:22,10:32,10:42,10:52,11:02,11:12,11:22,11:32,11:42,11:52,12:02,12:12,12:22,12:32,12:42,12:52,01:02,01:12,01:22,01:32,01:42,01:52,02:02,02:12,02:22,02:32,02:42,02:52,03:02,03:12,03:22,03:32,03:42,03:52,04:02,04:12,04:22,04:32,04:42,04:52,05:02,05:12,05:22,05:32,05:42,05:52,06:02,06:12,06:22,06:32,06:42,06:52,07:02,07:12,07:32,07:42,08:02,08:22,08:32,08:52,09:12,09:22,09:42,10:02,10:12,10:32,10:52,11:02,11:22,11:42,11:52,12:12,12:32,12:42,01:02,,
Center for the Arts,06:44,07:04,07:14,07:34,,07:54,08:04,08:14,08:24,08:34,08:44,08:54,09:04,09:14,09:24,09:34,09:44,09:54,10:04,10:14,10:24,10:34,10:44,10:54,11:04,11:14,11:24,11:34,11:44,11:54,12:04,12:14,12:24,12:34,12:44,12:54,01:04,01:14,01:24,01:34,01:44,01:54,02:04,02:14,02:24,02:34,02:44,02:54,03:04,03:14,03:24,03:34,03:44,03:54,04:04,04:14,04:24,04:34,04:44,04:54,05:04,05:14,05:24,05:34,05:44,05:54,06:04,06:14,06:24,06:34,06:44,06:54,07:04,07:14,07:34,07:44,08:04,08:24,08:34,08:54,09:14,09:24,09:44,10:04,10:14,10:34,10:54,11:04,11:24,11:44,11:54,12:14,12:34,12:44,01:04,,
Lockwood (to Spine),06:45,07:05,07:15,07:35,,07:53,08:05,08:15,08:25,08:35,08:45,08:55,09:05,09:15,09:25,09:35,09:45,09:55,10:05,10:15,10:25,10:35,10:45,10:55,11:05,11:15,11:25,11:35,11:45,11:55,12:05,12:15,12:25,12:35,12:45,12:55,01:05,01:15,01:25,01:35,01:45,01:55,02:05,02:15,02:25,02:35,02:45,02:55,03:05,03:15,03:25,03:35,03:45,03:55,04:05,04:15,04:25,04:35,04:45,04:55,05:05,05:15,05:25,05:35,05:45,05:55,06:05,06:15,06:25,06:35,06:45,06:55,07:05,07:15,07:35,07:45,08:05,08:25,08:35,08:55,09:15,09:25,09:45,10:05,10:15,10:35,10:55,11:05,11:25,11:45,11:55,12:15,12:35,12:45,01:05,,
Baldy/O'Brian,06:46,07:06,07:16,07:36,,07:56,08:06,08:16,08:26,08:36,08:46,08:56,09:06,09:16,09:26,09:36,09:46,09:56,10:06,10:16,10:26,10:36,10:46,10:56,11:06,11:16,11:26,11:36,11:46,11:56,12:06,12:16,12:26,12:36,12:46,12:56,01:06,01:16,01:26,01:36,01:46,01:56,02:06,02:16,02:26,02:36,02:46,02:56,03:06,03:16,03:26,03:36,03:46,03:56,04:06,04:16,04:26,04:36,04:46,04:56,05:06,05:16,05:26,05:36,05:46,05:56,06:06,06:16,06:26,06:36,06:46,06:56,07:06,07:16,07:36,07:46,08:06,08:26,08:36,08:56,09:16,09:26,09:46,10:06,10:16,10:36,10:56,11:06,11:26,11:46,11:56,12:16,12:36,12:46,01:06,,
Founder's Plaza,06:50,07:10,07:20,07:40,,08:00,08:10,08:20,08:30,08:40,08:50,09:00,09:10,09:20,09:30,09:40,09:50,10:00,10:10,10:20,10:30,10:40,10:50,11:00,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,12:50,01:00,01:10,01:20,01:30,01:40,01:50,02:00,02:10,02:20,02:30,02:40,02:50,03:00,03:10,03:20,03:30,03:40,03:50,04:00,04:10,04:20,04:30,04:40,04:50,05:00,05:10,05:20,05:30,05:40,05:50,06:00,06:10,06:20,06:30,06:40,06:50,07:00,07:10,07:20,07:40,07:50,08:10,08:30,08:40,09:00,09:20,09:30,09:50,10:10,10:20,10:40,11:00,11:10,11:30,11:50,12:00,12:20,12:40,12:50,01:10,,
Cooke / Hochstetter,06:51,07:11,07:21,07:41,,08:01,08:11,08:21,08:31,08:41,08:51,09:01,09:11,09:21,09:31,09:41,09:51,10:01,10:11,10:21,10:31,10:41,10:51,11:01,11:11,11:21,11:31,11:41,11:51,12:01,12:11,12:21,12:31,12:41,12:51,01:01,01:11,01:21,01:31,01:41,01:51,02:01,02:11,02:21,02:31,02:41,02:51,03:01,03:11,03:21,03:31,03:41,03:51,04:01,04:11,04:21,04:31,04:41,04:51,05:01,05:11,05:21,05:31,05:41,05:51,06:01,06:11,06:21,06:31,06:41,06:51,07:01,07:11,07:21,07:41,07:51,08:11,08:31,08:41,09:01,09:21,09:31,09:51,10:11,10:21,10:41,11:01,11:11,11:31,11:51,12:01,12:21,12:41,12:51,01:11,,
